NOMBRE,Municipio,Descripcion Tipo Rnt,Categoria,TIPO DE ESTABLECIMIENTO,Estado Rnt,TOTAL
HOTEL COLONIAL DEL OTUN,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL LA CALERA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL PEREIRA LAGO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL LA 30,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL LOS CRISTALES,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL METRO,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL TUCAN,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL CASTILLA REAL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL MI CASITA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL LOS TUNJOS,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL COMERCIAL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL TEQUENDAMA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL SAN FERMIN LIMITADA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL ROYAL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL DE PEREIRA & CENTRO DE CONVENCIONES,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
GRAN HOTEL,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
HOTEL SORATAMA,PEREIRA,ESTABLECIMIENTO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,ACTIVO,1
SANTANILLA ANDRADE MARIA CAMILA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ANDRES CAMILO MONTES RAMIREZ,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ANDRES  OSSA CASTRILLON,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ANDRES  OSSA CASTRILLON,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
QUICENO VELASCO MARIA OLGA LUCIA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ANA CAMILA PANTOJA CAICEDO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ALEJANDRO  MARTINEZ NOREÑA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
HELORAN JULIETH CASTIBLANCO SANCHEZ,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
CRUZ MOTATO JAIBER HERNANDO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ANA CAMILA PANTOJA CAICEDO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
LUZ MARY LONDOÑO BERNAL,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
OSCAR  MARTINEZ SOUSA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
RAFAEL ALBERTO MEJIA LARGACHA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
FERNANDO LUIS PULGARIN RESTREPO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
FERNANDO LUIS PULGARIN RESTREPO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
FERNANDO LUIS PULGARIN RESTREPO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
EFRAIN SALVADOR DUQUE DUQUE,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
RAMIREZ VELASQUEZ MARTHA LILIANA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
PATIÑO DE RODRIGUEZ BLANCA NIDIA,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
LUZ AMPARO RAMIREZ VELASQUEZ,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
JHON JAIRO AGUDELO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
CASTRILLON LADINO LUZ DARY DE JESUS,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
ECHEVERRI ARIAS JOSE FERNANDO,PEREIRA,INMUEBLE,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,ACTIVO,1
HOTEL CAMPESTRE LA PRIMAVERA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LENIS ORREGO LUIS EDUARDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
DENIR  RODAS GOMEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ALOJAMIENTO ECOPARADISE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA LA MORABIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FUNDACION AMENAR AMBIENTE EN ARMONIA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
SANDRA MILENA MOSQUERA DIEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
MARTA ELENA GARAVITO OSORIO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
VILLA SERNA EDUARDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA CASA BLANCA MORELIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HACIENDA CHAPINERO,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
MIRADOR AGROECOLOGICO Y TECNOLOGICO DE RISARALDA - MAR T,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
VALLEJO MAZUERA ALFREDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
VALLEJO MAZUERA ALFREDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
VALLEJO MAZUERA ALFREDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
VALLEJO MAZUERA ALFREDO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
AURELIO  LOPEZ VALENCIA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
LA KUMBRE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HOTEL CAMPESTRE LA MARGARITA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FABIOLA  MONTOYA RIOS,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
MARIANA  MARULANDA GUTIERREZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
SALAS PALACIO CARMEN ELENA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ADRIANA PATRICIA OSPINA LOPEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
SALAZAR ALZATE MARIA DOLY,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL PARAÍSO COMBIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
DANIELA  GARCIA VALENCIA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
KALEJ S.A.S,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LUISA  FERNANDA RICO CARRISOZA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ABU DABI RESTAURANTE MIRADOR,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CORTES  BRIDGETT SORAYA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
RESERVA ECOLOGICA EL AGUACATE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CESAR AUGUSTO FLOREZ CELIS,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
GO APARTALOFT,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
OSCAR  MARTINEZ SOUSA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
FINCA NARANJITOS,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LA UNION COFFEE FARM,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LA ACUARELA POSADA DE LA MONITA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
DANIELA  LOPEZ NAVARRO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ALOJAMIENTO EL OCASO,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA SAN JORGE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FUNDACIÓN CASA SANTA LUCIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ADRIANA  GUTIERREZ JARAMILLO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
OTUN GASTRO PARK,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CRISTINA  MERCE VILAR,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
KRISTIAAN RICHARD E LAUWERS,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
DIEGO JESUS CARDONA OCAMPO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CASA DE CAMPO ESTRELLA DE LA MAÑANA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
ELLIOTT DEAN MICHAEL,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
ELLIOTT DEAN MICHAEL,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
CLAUDIA PATRICIA LONDOÑO GOMEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LINDA TATIANA HURTADO ARIAS,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
FINCA EL PORFIN,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA LOS ANGELES J & M,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
RESERVA NATURAL GUADALUPE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LAURA DANIELA GALINDO SANCHEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
JUAN DAVID BETANCOURTH SALAZAR,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL SAMAN DE CERRITOS,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CRISTIAN DAVID ESCOBAR MARTINEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
MYRIAN  GOMEZ ARANGO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
INMOBILIARIA VITRUVIO S A S,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
CASA DE CAMPO LA TIERRITA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CASTRO MONTOYA CAROLINA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
JORGE EDUARDO PINEDA GOMEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CLAUDIA HELENA TENA MEJIA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA EL DIAMANTE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
RANCHO SAMAN,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ANA FELIZ CASTAÑO LOPEZ,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
FINCA EL PARAISO RURAL,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
JOAN SEBASTIAN JIMENEZ ALLAN,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
OSPINA MONTOYA LUIS CRISTOBAL,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
RESTREPO RIOS CLAUDIA PATRICIA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HOSTAL VALLE DE LAS CAMELIAS,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HOSTAL LA MANZANA APPLE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
JEISSON ALBERTO BARAJAS URREGO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,APARTAMENTO TURÍSTICO,ACTIVO,1
FINCA VILLAS DE SANJACOBO,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA LA SOMBRA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA EL REPOSO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA KATHERINE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ALOJAMIENTO RURAL LOS ANGELES,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA LA TOSCANA ALOJAMIENTO RURAL,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA MADRID,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CENTRO DE VISITANTE LA PASTORA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HOTEL CAMPESTRE YANUBA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
AMAZILIA HOTEL,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL JARDÍN DE LOS COLIBRIES,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA LA ISABELLA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ECOHOTEL SHALOM,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
SANTA MARIA BED AND BREAKFAST,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA HOTEL CAPRI,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA JULIANA COMBIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,OTROS TIPOS DE VIVIENDA TURÍSTICA,ACTIVO,1
FINCA VILLA ANDREA MORELIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
CASA CAMPESTRE MONTERREY,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA HOTEL YERBABUENA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
COTINGA HOTEL SPA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL LUGAR,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA LA RIVERA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA ILUSIONES,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL DESCANSO DEL DUQUE,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA MONTERREY UN SUEÑO HECHO REALIDAD,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA CAMPESTRE LA ROSITA PAQUETA,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
HOTEL CAMPESTRE VILLA JUANA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA EL ROSAL COMBIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA VILLA DEL SOCORRO,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
LA VALENCIA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
FINCA MI TIERRICA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
EL REFUGIO DE BALSORA,PEREIRA,ESTABLECIMIENTO,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
ANDALUCIA FINCA HOTEL,PEREIRA,INMUEBLE,VIVIENDAS TURÍSTICAS,FINCAS TURISTICAS (ALOJAMIENTO RURAL),ACTIVO,1
